ID,PlayerName,RoundsPlayed,Rating,AverageCombatScore,KillsToDeaths,KillAssistsPercentage,AverageDamagePerRound,KillPerRound,AssistsPerRound,FirstKillsPerRound,FirstDeathPerRound,HeadShotPercentage,ClutchSuccessRate,MaxKillsInAMap,Kills,Deaths,Assists,FirstKills,FirstDeaths
336,str1keRTU,364,1.03,232.2,1.11,70%,156.2,0.83,0.19,0.10,0.13,26%,24%,30,302,273,69,38,48
337,LeyreMDK,278,1.03,212.2,1.04,76%,143.3,0.75,0.39,0.08,0.10,39%,16%,22,209,201,108,22,29
338,grubinhoKOI,239,1.03,192.2,0.97,78%,129.1,0.66,0.32,0.10,0.09,33%,15%,22,158,163,76,23,22
339,trexxVIT,276,1.03,200.7,0.99,78%,127.3,0.68,0.50,0.10,0.10,18%,9%,21,187,189,137,27,27
340,CainTorc,258,1.03,193.7,0.98,73%,129.3,0.70,0.37,0.06,0.09,23%,17%,19,181,185,95,16,22
341,NoiaSR,509,1.03,191.0,1.09,74%,129.1,0.69,0.19,0.10,0.10,26%,22%,26,350,321,97,52,53
342,raafaHERO,426,1.03,179.3,1.00,72%,114.9,0.63,0.33,0.06,0.09,26%,18%,25,269,270,139,26,38
343,RetaFLCV,297,1.03,176.6,1.10,71%,124.0,0.68,0.24,0.08,0.09,33%,6%,22,202,184,72,25,27
344,BánhMjRLF,204,1.03,203.8,1.08,74%,129.6,0.76,0.28,0.07,0.11,34%,24%,21,155,144,57,14,23
345,RizaDSG,248,1.03,228.3,1.09,71%,139.1,0.79,0.28,0.06,0.08,23%,6%,30,196,180,70,16,20
346,AlMtRoOo3,347,1.03,201.9,1.06,73%,131.7,0.73,0.37,0.05,0.10,28%,15%,26,252,238,128,19,34
347,FlaringAE,398,1.03,159.3,0.95,77%,102.9,0.57,0.45,0.03,0.05,25%,19%,20,225,237,179,12,20
348,SundayLFG,314,1.03,177.1,1.06,76%,123.7,0.67,0.26,0.04,0.05,28%,13%,28,211,199,83,13,17
349,RieNsTH,391,1.02,198.7,0.97,75%,137.6,0.69,0.33,0.09,0.08,36%,11%,25,269,276,128,34,31
350,Avvix,364,1.02,187.1,0.94,73%,122.9,0.64,0.34,0.08,0.06,30%,15%,19,234,250,123,28,22
351,CudAE,291,1.02,188.7,1.06,76%,122.6,0.68,0.21,0.06,0.10,30%,15%,22,199,187,61,18,30
352,HoaxGRY,390,1.02,178.1,1.02,75%,118.6,0.64,0.41,0.07,0.06,26%,5%,25,249,245,161,29,24
353,BENECIASLT,368,1.02,182.8,1.01,75%,117.9,0.66,0.36,0.06,0.07,23%,18%,29,244,242,132,22,26
354,BuldGN,327,1.02,186.8,0.91,79%,117.8,0.62,0.46,0.09,0.06,24%,14%,21,203,224,150,30,21
355,sonderFLY.R,562,1.02,206.1,0.91,76%,129.7,0.69,0.56,0.09,0.12,26%,12%,23,388,425,313,53,70
356,NicoMachineAK,337,1.02,189.9,0.90,75%,123.4,0.63,0.46,0.08,0.08,25%,17%,21,213,237,156,28,27
357,cbuiSNG,343,1.02,182.0,0.97,73%,121.9,0.64,0.41,0.06,0.05,22%,14%,18,219,226,142,20,16
358,d4v41PRX,562,1.02,193.0,0.97,73%,126.6,0.67,0.38,0.07,0.05,29%,14%,25,377,388,216,40,26
359,cgrsMITH,256,1.02,199.6,1.05,71%,137.9,0.73,0.21,0.05,0.07,34%,29%,28,187,178,55,12,17
360,PetraG2.G,419,1.02,207.3,1.00,71%,136.6,0.70,0.26,0.10,0.15,30%,29%,22,294,293,109,40,63
361,ScarlettGMX.L,488,1.02,218.5,1.04,71%,142.2,0.76,0.23,0.18,0.14,21%,15%,28,371,358,113,88,66
362,XeppaaC9,228,1.02,186.8,0.90,78%,124.0,0.63,0.54,0.07,0.08,27%,35%,26,143,159,123,16,18
363,bztCG,513,1.02,187.8,0.98,71%,127.7,0.66,0.30,0.08,0.05,26%,19%,25,338,344,155,43,27
364,ZauqkBOBO,455,1.02,207.5,1.03,74%,137.7,0.72,0.31,0.08,0.05,23%,11%,29,329,320,139,35,25
365,gloSFU.P,258,1.02,199.8,0.96,71%,135.4,0.70,0.29,0.09,0.05,25%,12%,23,180,188,76,22,14
366,NcSlasherBME,291,1.02,209.8,1.00,77%,142.3,0.71,0.43,0.09,0.08,29%,26%,24,207,207,124,27,23
367,RedKohLESS,398,1.02,189.4,1.01,72%,121.9,0.65,0.24,0.10,0.11,25%,17%,23,257,254,97,40,45
368,VictorNRG,219,1.02,212.0,1.07,68%,139.4,0.76,0.18,0.11,0.06,29%,,30,166,155,39,25,14
369,WinteryrookR8,320,1.02,215.1,1.08,71%,133.6,0.75,0.33,0.12,0.12,29%,25%,28,239,221,105,39,37
370,banTLN,222,1.02,217.8,1.12,69%,140.8,0.77,0.25,0.14,0.12,33%,10%,26,172,154,56,32,26
371,FeeqnOF,300,1.02,209.7,1.05,68%,144.6,0.72,0.24,0.10,0.09,19%,13%,29,217,206,72,29,26
372,MeiyDFM,219,1.02,241.6,1.06,68%,155.3,0.84,0.17,0.19,0.17,26%,10%,29,184,173,37,41,38
373,adversoAK,337,1.02,210.8,1.01,68%,136.1,0.71,0.32,0.12,0.12,21%,17%,19,240,237,108,41,39
374,NeonFG,316,1.01,231.6,1.04,70%,152.6,0.77,0.21,0.20,0.17,25%,23%,27,244,235,67,62,54
375,shionOLP,222,1.01,203.2,1.01,73%,131.8,0.69,0.31,0.09,0.09,23%,20%,24,153,152,68,21,20
376,MAGNUMKC,424,1.01,186.4,0.93,71%,123.0,0.63,0.35,0.09,0.10,24%,21%,18,265,284,147,38,44
377,KibojnMDL,367,1.01,185.2,0.97,72%,120.3,0.66,0.35,0.04,0.05,32%,15%,23,243,250,127,15,18
378,adelanoUG,333,1.01,184.4,0.96,68%,124.4,0.65,0.30,0.08,0.05,25%,11%,26,216,224,99,26,16
379,POISEDTSM,236,1.01,198.9,1.12,74%,135.0,0.72,0.24,0.09,0.07,27%,13%,27,170,152,57,22,16
380,RNDTBK,496,1.01,233.8,1.02,70%,147.7,0.79,0.19,0.18,0.17,17%,24%,25,392,384,94,87,82
381,gloomEZKI,465,1.01,192.4,0.97,72%,122.5,0.67,0.40,0.11,0.10,22%,28%,23,312,323,188,53,45
382,MKIIEDGE,305,1.01,226.5,1.00,70%,154.9,0.76,0.26,0.17,0.14,19%,17%,25,231,230,80,53,44
